Name,Category,Location,Lat,Lon,Municipality,Province,Tags,PhotoHint
Antonio's,Restaurant,"Tagaytay, Cavite",14.0953,120.934,Tagaytay,Cavite,restaurant,Antonio's Tagaytay Cavite Philippines
Bale Dutung,Restaurant,"Angeles, Pampanga",15.1378,120.5906,Angeles,Pampanga,restaurant,Bale Dutung Angeles Pampanga Philippines
Toyo Eatery,Restaurant,"Makati, NCR",14.5626,121.0298,Makati,NCR,restaurant,Toyo Eatery Makati NCR Philippines
Metiz,Restaurant,"Makati, NCR",14.563,121.03,Makati,NCR,restaurant,Metiz Makati NCR Philippines
Gallery by Chele,Restaurant,"BGC, Taguig",14.5515,121.0493,BGC,Taguig,restaurant,Gallery by Chele BGC Taguig Philippines
Helm,Restaurant,"BGC, Taguig",14.552,121.05,BGC,Taguig,restaurant,Helm BGC Taguig Philippines
Mecha Uma,Restaurant,"BGC, Taguig",14.549,121.045,BGC,Taguig,restaurant,Mecha Uma BGC Taguig Philippines
Wildflour Cafe + Bakery,Restaurant,"BGC, Taguig",14.5495,121.048,BGC,Taguig,restaurant,Wildflour Cafe + Bakery BGC Taguig Philippines
Manam Comfort Filipino,Restaurant,"BGC, Taguig",14.55,121.047,BGC,Taguig,restaurant,Manam Comfort Filipino BGC Taguig Philippines
Locavore,Restaurant,"Pasig, NCR",14.57,121.06,Pasig,NCR,restaurant,Locavore Pasig NCR Philippines
Cafe Juanita,Restaurant,"Pasig, NCR",14.5735,121.065,Pasig,NCR,restaurant,Cafe Juanita Pasig NCR Philippines
Kusina Felicitas,Restaurant,"Vigan, Ilocos Sur",17.5727,120.3903,Vigan,Ilocos Sur,restaurant,Kusina Felicitas Vigan Ilocos Sur Philippines
Cafe Fleur,Restaurant,"Angeles, Pampanga",15.135,120.59,Angeles,Pampanga,restaurant,Cafe Fleur Angeles Pampanga Philippines
Aling Lucing Sisig,Restaurant,"Angeles, Pampanga",15.1388,120.5905,Angeles,Pampanga,restaurant,Aling Lucing Sisig Angeles Pampanga Philippines
Mila's Tokwa't Baboy,Restaurant,"Angeles, Pampanga",15.13,120.6,Angeles,Pampanga,restaurant,Mila's Tokwa't Baboy Angeles Pampanga Philippines
Everybody's Cafe,Restaurant,"San Fernando, Pampanga",15.03,120.69,San Fernando,Pampanga,restaurant,Everybody's Cafe San Fernando Pampanga Philippines
Matam-ih Authentic Kapampangan,Restaurant,"Clark, Pampanga",15.18,120.52,Clark,Pampanga,restaurant,Matam-ih Authentic Kapampangan Clark Pampanga Philippines
Amare La Cucina,Restaurant,"Baguio, Benguet",16.41,120.6,Baguio,Benguet,restaurant,Amare La Cucina Baguio Benguet Philippines
Lemon and Olives Greek Taverna,Restaurant,"Baguio, Benguet",16.415,120.61,Baguio,Benguet,restaurant,Lemon and Olives Greek Taverna Baguio Benguet Philippines
Good Taste Cafe & Restaurant,Restaurant,"Baguio, Benguet",16.413,120.595,Baguio,Benguet,restaurant,Good Taste Cafe & Restaurant Baguio Benguet Philippines
Farmer's Daughter,Restaurant,"Baguio, Benguet",16.4023,120.608,Baguio,Benguet,restaurant,Farmer's Daughter Baguio Benguet Philippines
Hill Station,Restaurant,"Baguio, Benguet",16.411,120.597,Baguio,Benguet,restaurant,Hill Station Baguio Benguet Philippines
Balay Dako,Restaurant,"Tagaytay, Cavite",14.103,120.954,Tagaytay,Cavite,restaurant,Balay Dako Tagaytay Cavite Philippines
Breakfast at Antonio's,Restaurant,"Tagaytay, Cavite",14.09,120.93,Tagaytay,Cavite,restaurant,Breakfast at Antonio's Tagaytay Cavite Philippines
Bag of Beans (Main),Restaurant,"Tagaytay, Cavite",14.095,120.9152,Tagaytay,Cavite,restaurant,Bag of Beans (Main) Tagaytay Cavite Philippines
Sonya's Garden,Restaurant,"Alfonso, Cavite",14.12,120.88,Alfonso,Cavite,restaurant,Sonya's Garden Alfonso Cavite Philippines
Lime and Basil Thai,Restaurant,"Alfonso, Cavite",14.11,120.89,Alfonso,Cavite,restaurant,Lime and Basil Thai Alfonso Cavite Philippines
Marcia Adams,Restaurant,"Alfonso, Cavite",14.115,120.885,Alfonso,Cavite,restaurant,Marcia Adams Alfonso Cavite Philippines
El Chupacabra,Restaurant,"Makati, NCR",14.564,121.032,Makati,NCR,restaurant,El Chupacabra Makati NCR Philippines
Filling Station Bar & Cafe,Restaurant,"Makati, NCR",14.565,121.033,Makati,NCR,restaurant,Filling Station Bar & Cafe Makati NCR Philippines
Mendokoro Ramenba,Restaurant,"Makati, NCR",14.558,121.02,Makati,NCR,restaurant,Mendokoro Ramenba Makati NCR Philippines
Blackbird,Restaurant,"Makati, NCR",14.555,121.025,Makati,NCR,restaurant,Blackbird Makati NCR Philippines
Barbara's Heritage Restaurant,Restaurant,"Intramuros, Manila",14.59,120.97,Intramuros,Manila,restaurant,Barbara's Heritage Restaurant Intramuros Manila Philippines
Ilustrado,Restaurant,"Intramuros, Manila",14.589,120.972,Intramuros,Manila,restaurant,Ilustrado Intramuros Manila Philippines
Wai Ying Dimsum,Restaurant,"Binondo, Manila",14.6,120.975,Binondo,Manila,restaurant,Wai Ying Dimsum Binondo Manila Philippines
Dong Bei Dumplings,Restaurant,"Binondo, Manila",14.601,120.976,Binondo,Manila,restaurant,Dong Bei Dumplings Binondo Manila Philippines
Sincerity Cafe & Restaurant,Restaurant,"Binondo, Manila",14.599,120.974,Binondo,Manila,restaurant,Sincerity Cafe & Restaurant Binondo Manila Philippines
1st Colonial Grill,Restaurant,"Legazpi, Albay",13.1396,123.7368,Legazpi,Albay,restaurant,1st Colonial Grill Legazpi Albay Philippines
Small Talk Cafe,Restaurant,"Legazpi, Albay",13.14,123.74,Legazpi,Albay,restaurant,Small Talk Cafe Legazpi Albay Philippines
DjC Halo-Halo,Restaurant,"Tiwi, Albay",13.458,123.681,Tiwi,Albay,restaurant,DjC Halo-Halo Tiwi Albay Philippines
Foam Coffee,Cafe,"Baguio, Benguet",16.412,120.594,Baguio,Benguet,cafe,Foam Coffee Baguio Benguet Philippines
Hatch Coffee,Cafe,"Baguio, Benguet",16.416,120.605,Baguio,Benguet,cafe,Hatch Coffee Baguio Benguet Philippines
Hotcat Specialty Coffee,Cafe,"Baguio, Benguet",16.408,120.6,Baguio,Benguet,cafe,Hotcat Specialty Coffee Baguio Benguet Philippines
Arca's Yard,Cafe,"Baguio, Benguet",16.402,120.618,Baguio,Benguet,cafe,Arca's Yard Baguio Benguet Philippines
